TransNo,Tr_Type,Payment_Receipt,EntryDate,Vs_Dt,SrNo,AccCode,Amount,DRCR,PartyCode,RecoDt,ShareEntered,EntryNo
JV2201-000027       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,5,1511,4000.00,CR,000042,NULL,NULL,NULL
JV2201-000027       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,6,1840,456125.00,CR,000267,NULL,NULL,NULL
BB2201-000089       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,456125.00,CR,000021,NULL,NULL,BB2201-000089       
BB2201-000089       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1840,456125.00,DR,000267,NULL,NULL,BB2201-000089       
BB2201-000090       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1477,55690.00,CR,000008,NULL,NULL,BB2201-000090       
BB2201-000090       ,6,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1889,55690.00,DR,000314,NULL,NULL,BB2201-000090       
BB2201-000094       ,5,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,0,1488,62712.00,DR,000019,NULL,NULL,BB2201-000094       
BB2201-000094       ,5,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,1,1517,62011.00,CR,000048,NULL,NULL,BB2201-000094       
BB2201-000094       ,5,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,2,1641,701.00,CR,000156,NULL,NULL,BB2201-000094       
CB2201-000031       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1475,14400.00,DR,000006,NULL,NULL,NULL
CB2201-000031       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1512,14400.00,CR,000043,NULL,NULL,NULL
JV2201-000028       ,7,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,1,1601,2000.00,DR,000116,NULL,NULL,NULL
JV2201-000028       ,7,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,2,1609,2000.00,CR,000124,NULL,NULL,NULL
JV2201-000029       ,7,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,2,1601,10700.00,DR,000116,NULL,NULL,NULL
JV2201-000029       ,7,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,1,1609,10700.00,CR,000124,NULL,NULL,NULL
JV2201-000030       ,7,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,2,1601,4825.00,DR,000116,NULL,NULL,NULL
JV2201-000030       ,7,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,1,1609,4825.00,CR,000124,NULL,NULL,NULL
CB2201-000032       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1473,120.00,DR,000004,NULL,NULL,NULL
CB2201-000032       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000032       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000032       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
BB2201-000095       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1488,4180.00,DR,000019,NULL,NULL,BB2201-000095       
BB2201-000095       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1920,4180.00,CR,000345,NULL,NULL,BB2201-000095       
JV2201-000031       ,7,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,2,1601,19539.00,DR,000116,NULL,NULL,NULL
JV2201-000031       ,7,NULL,2021-04-06 00:00:00,2021-04-05 00:00:00,1,1609,19539.00,CR,000124,NULL,NULL,NULL
BB2201-000096       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1484,605200.00,DR,000015,NULL,NULL,BB2201-000096       
BB2201-000096       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1512,428600.00,CR,000043,NULL,NULL,BB2201-000096       
BB2201-000096       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1517,176600.00,CR,000048,NULL,NULL,BB2201-000096       
CB2201-000033       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1475,19000.00,DR,000006,NULL,NULL,NULL
CB2201-000033       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1512,19000.00,CR,000043,NULL,NULL,NULL
CB2201-000034       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1839,15200.00,DR,000266,NULL,NULL,NULL
CB2201-000034       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1512,15200.00,CR,000043,NULL,NULL,NULL
CB2201-000035       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1839,120.00,DR,000266,NULL,NULL,NULL
CB2201-000035       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000035       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000035       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
CB2201-000036       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1839,120.00,DR,000266,NULL,NULL,NULL
CB2201-000036       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000036       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
CB2201-000036       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
CB2201-000037       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1839,120.00,DR,000266,NULL,NULL,NULL
CB2201-000037       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1533,100.00,CR,000064,NULL,NULL,NULL
CB2201-000037       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1698,10.00,CR,000213,NULL,NULL,NULL
